comparison,t,p,diff_mean_sqerr,ci_lo,ci_hi,p_holm,significant_holm_0.05
Ridge vs RandomForest,8.226867478992318,7.819679939398314e-13,76.57035475824473,58.40752282234436,95.3884871680202,3.1278719757593256e-12,True
Ridge vs XGBoost,8.894185066223145,2.8139981189949544e-14,79.02761840820312,61.736083602905275,97.07517642974854,1.6883988713969726e-13,True
Ridge vs LightGBM,8.892367959802858,2.8396909842807886e-14,80.13657785713417,62.50744988569528,98.43566534162484,1.6883988713969726e-13,True
RandomForest vs XGBoost,0.8170516259751482,0.41586081465230945,2.4572658624828,-3.3952334524513934,8.356612148899867,0.8317216293046189,False
RandomForest vs LightGBM,1.3542643703306299,0.17873512286858087,3.5662230988894303,-1.438603298118562,8.699829275240534,0.5362053686057426,False
XGBoost vs LightGBM,0.6468564256900609,0.519221821670805,1.1089572364066307,-2.1987557692720276,4.533050637820693,0.8317216293046189,False
