modelo,cv_rmse_mean,cv_rmse_std,test_rmse,test_mae,test_r2,test_phm,test_rmse_no_censurado
RandomForest,10.893331564548173,0.6265525204611812,11.855486345930672,8.573799681342653,0.912475620498859,234.23297829648163,12.189520103351201
XGBoost,10.905094016429953,0.6353068073031124,12.551697902644797,8.752128601074219,0.9018940925598145,250.30775451660156,12.933082305464612
LightGBM,10.823598489230275,0.7005836579723623,12.985573739012375,9.409935819962639,0.894994371994372,273.56987717358857,13.350851196760662
Ridge,14.152055398336751,1.1633247974830137,14.076470382614286,11.36345100402832,0.8766106367111206,298.406982421875,13.5781744461125
Baseline-VidaMedia-Ciclos,,,36.08441811918269,26.9431,0.189170195548512,21032.449025636677,36.055376650275875
Baseline-Media,,,41.94179607280189,34.83000183105469,-0.0954291820526123,33354.46875,42.38459457658968
Baseline-Mediana,,,49.203353246533155,38.0099983215332,-0.5075775384902954,166491.34375,51.57878294036585
