modelo,cv_f1_mean,cv_f1_std,cv_recall_mean,cv_recall_std,cv_precision_mean,cv_roc_auc_mean,test_f1,test_recall,test_precision,test_roc_auc
LogisticRegression,0.9072957397494534,0.01699882167292078,0.9480645161290322,0.012342662238521937,0.8707060051685653,0.9951480989066281,0.9411764705882353,0.96,0.9230769230769231,0.9973333333333334
RandomForest,0.9129972510200763,0.010553012660973573,0.9361290322580647,0.017299467971344417,0.8912815186926885,0.9946866153267747,0.9411764705882353,0.96,0.9230769230769231,0.9930666666666667
XGBoost,0.9251436356190164,0.007502317003944793,0.9448387096774192,0.016866988983743714,0.9066846468795242,0.9963057174955653,0.9411764705882353,0.96,0.9230769230769231,0.9984
LightGBM,0.9261383846365676,0.007741865653443692,0.9445161290322581,0.01846333938226347,0.9089739268758604,0.9963538893098672,0.9411764705882353,0.96,0.9230769230769231,0.9978666666666667
