Ventanas,n_feats,CV_RMSE,CV_std,Test_RMSE
"[15,30,45]",154,11.399675759012814,0.41759602479683366,12.53024367843681
"[15,45]",112,11.476598863594834,0.40833335519040687,12.71822809127215
"[30,45]",112,11.555983734100728,0.5065654304904326,12.428761133981697
[45],70,11.61220306316886,0.47562847502555694,12.786519069218077
"[5,15,30]",154,12.645951988748973,0.7849544317799156,11.453838441752186
"[15,30]★",112,12.826760318049375,0.8589863053971832,11.63684558725078
[30],70,12.834398472029502,0.8991295398735852,11.808530714160325
[5],70,13.61493293059607,1.3268152049672817,13.645445137587087
"[5,15]",112,13.859970370172997,1.4071528316051076,13.809799788232871
[15],70,13.900400849130367,1.4825747043394186,13.32809113381228
